nombreGrupo=SiNaRaMe
idGrupo=3
nombreSensor=_Temp Ambiente
idSensor=12
intervaloTemporal=mensual
fecha=2019


Fecha,01,02,03,04,05,06,07,08,09,10,11,12
137 - RMA10_CPR,0,0,0,0,0,0,0,2006,382
139 - RMA10_JAR,0,0,0,0,0,0,0,4463,383
136 - RMA10_PAL,0,0,0,0,0,0,0,4358,376
138 - RMA10_PIG,0,0,0,0,0,0,0,2014,383
140 - RMA10_PLU,0,0,0,0,0,0,0,2006,382
143 - RMA11_CON,0,0,0,0,0,191,3877,4392,521
145 - RMA11_LAV,0,0,0,0,0,172,4452,4458,521
141 - RMA11_LMA,0,0,0,0,0,164,3892,4318,521
144 - RMA11_PHO,0,0,0,0,0,150,4460,4464,521
146 - RMA11_SAN,0,0,0,0,0,0,0,4463,144
142 - RMA11_SMT,0,0,0,0,0,52,4452,4460,521
94 - RMA1_BAL,0,0,0,0,0,0,0,1992,382
96 - RMA1_FDC,0,0,0,0,0,0,1470,1356,265
98 - RMA1_MIR,0,0,0,0,0,170,4454,4464,521
95 - RMA1_PIL,0,0,0,0,0,0,0,4379,378
97 - RMA1_VMA,0,0,0,0,0,0,0,1979,379
103 - RMA2_AKO,0,0,0,0,0,0,0,0,0
100 - RMA2_LUJ,0,0,0,0,0,0,0,4459,381
102 - RMA2_QUI,0,0,0,0,0,0,0,0,0
101 - RMA2_SAG,0,0,0,0,0,0,0,2014,383
99 - RMA2_ZAR,0,0,0,0,0,83,627,248,0
105 - RMA3_IBA,0,0,0,0,0,73,3834,4463,521
108 - RMA3_IJU,0,0,0,0,0,178,4455,4463,521
106 - RMA3_PIR,0,0,0,0,0,149,4228,4109,481
104 - RMA3_PLA,0,0,0,0,0,0,394,704,84
107 - RMA3_PZL,0,0,0,0,0,150,4450,4463,520
109 - RMA4_CBN,0,0,0,0,0,210,4398,4355,515
111 - RMA4_COL,0,0,0,0,0,188,4449,4451,520
112 - RMA4_LAE,0,0,0,0,0,174,4450,4463,521
110 - RMA4_PCH,0,0,0,0,0,0,0,4451,380
113 - RMA4_PMB,0,0,0,0,0,0,933,1840,519
116 - RMA5_ELD,0,0,0,0,0,182,4159,4440,520
114 - RMA5_SAN,0,0,0,0,0,147,4400,3740,520
117 - RMA5_SVI,0,0,0,0,0,0,4384,4292,490
115 - RMA5_URU,0,0,0,0,0,142,4452,4454,519
118 - RMA6_CVI,0,0,0,0,0,0,2031,4374,514
119 - RMA6_LPA,0,0,0,0,0,0,0,288,382
122 - RMA6_MME,0,0,0,0,0,0,650,4425,519
121 - RMA6_NEC,0,0,0,0,0,0,0,4114,369
120 - RMA6_PMO,0,0,0,0,0,148,4449,4459,521
93 - RMA7_CDP,0,0,0,86,15,54,229,276,14
123 - RMA7_ECH,0,0,0,0,0,0,0,4260,367
126 - RMA7_GRO,0,0,0,0,0,0,0,4464,383
124 - RMA7_PHU,0,0,0,0,0,0,0,1963,137
125 - RMA7_RSA,0,0,0,0,0,0,0,2880,383
128 - RMA8_BPL,0,0,0,0,0,0,1932,4440,521
129 - RMA8_BVI,3623,4028,4463,4320,4447,4316,4440,4376,521
127 - RMA8_CC,0,0,0,0,0,0,0,4463,383
130 - RMA8_PIB,0,0,0,0,0,0,389,710,84
135 - RMA9_CKR,0,0,0,0,0,0,0,1639,366
131 - RMA9_RAD,0,0,0,0,0,0,0,26,0
132 - RMA9_SSE,0,0,0,0,0,0,0,213,0
133 - RMA9_TOL,0,0,0,0,0,0,0,1890,0
134 - RMA9_USH,0,0,0,0,0,0,0,3767,294
